mall_id,mall_name,titles,links,default price,promotional_price,rating,num_reviews,num_sold,num_available,num_like,detrailed_product
sp.btw2,Aviano Menswear,"Quần Đùi Nam AVIANO Chất Aircool Co Giãn 4 Chiều Cạp Cúc, Quần Short Nam 5 Màu Basic Dễ Dàng Phối Đồ",https://shopee.vn/Qu%E1%BA%A7n-%C4%90%C3%B9i-Nam-AVIANO-Ch%E1%BA%A5t-Aircool-Co-Gi%C3%A3n-4-Chi%E1%BB%81u-C%E1%BA%A1p-C%C3%BAc-Qu%E1%BA%A7n-Short-Nam-5-M%C3%A0u-Basic-D%E1%BB%85-D%C3%A0ng-Ph%E1%BB%91i-%C4%90%E1%BB%93-i.40342563.22033562959?sp_atk=5a032a17-254b-4b5c-987e-3d8b0c04d892&xptdk=5a032a17-254b-4b5c-987e-3d8b0c04d892,₫318.000,₫149.000,4.9,48,167,103 sản phẩm có sẵn,Đã thích (27),"{'Danh Mục': 'Shopee\nThời Trang Nam\nQuần Short\nQuần Đùi/Quần Short', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Dịp': 'Hằng Ngày', 'Loại quần short': 'Bermudas', 'Mẫu': 'Trơn', 'Kho hàng': '103', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,Áo Polo Lé Vai 3 Màu Thiết Kế Cổ Phối Trẻ Trung Thời Trang AVIANO,https://shopee.vn/%C3%81o-Polo-L%C3%A9-Vai-3-M%C3%A0u-Thi%E1%BA%BFt-K%E1%BA%BF-C%E1%BB%95-Ph%E1%BB%91i-Tr%E1%BA%BB-Trung-Th%E1%BB%9Di-Trang-AVIANO-i.40342563.21176536886?sp_atk=97516ae5-645c-4d8f-acc2-cad982344bfb&xptdk=97516ae5-645c-4d8f-acc2-cad982344bfb,₫378.000,₫139.000,4.8,34,100,148 sản phẩm có sẵn,Đã thích (26),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Polo', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Chiều dài tay áo': 'Tay ngắn', 'Mẫu': 'Trơn', 'Kho hàng': '148', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"Áo Polo Nam AVIANO, Áo Thun Nam Có Cổ Tay Ngắn 5 Màu Basic Chất Liệu Thoáng Khí",https://shopee.vn/%C3%81o-Polo-Nam-AVIANO-%C3%81o-Thun-Nam-C%C3%B3-C%E1%BB%95-Tay-Ng%E1%BA%AFn-5-M%C3%A0u-Basic-Ch%E1%BA%A5t-Li%E1%BB%87u-Tho%C3%A1ng-Kh%C3%AD-i.40342563.18376559310?sp_atk=ea9dce40-5e91-44b6-8ebe-a09b97f29013&xptdk=ea9dce40-5e91-44b6-8ebe-a09b97f29013,₫378.000,₫139.000,4.9,67,150,102 sản phẩm có sẵn,Đã thích (11),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Polo', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Chiều dài tay áo': 'Tay ngắn', 'Mẫu': 'Trơn', 'Kho hàng': '102', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"Bộ Đồ Nam AVIANO In Hình ZicZac, Đồ Thể Thao Nam Có Cổ Thiết Kế Thời Trang",https://shopee.vn/B%E1%BB%99-%C4%90%E1%BB%93-Nam-AVIANO-In-H%C3%ACnh-ZicZac-%C4%90%E1%BB%93-Th%E1%BB%83-Thao-Nam-C%C3%B3-C%E1%BB%95-Thi%E1%BA%BFt-K%E1%BA%BF-Th%E1%BB%9Di-Trang-i.40342563.21276531818?sp_atk=9d1a2176-560c-4d59-9baf-72332439cde3&xptdk=9d1a2176-560c-4d59-9baf-72332439cde3,₫538.000,₫169.000,4.8,319,969,85 sản phẩm có sẵn,Đã thích (156),"{'Danh Mục': 'Shopee\nThời Trang Nam\nĐồ Bộ', 'Thương hiệu': 'AVIANO', 'Mùa': 'Mùa hè', 'Xuất xứ': 'Việt Nam', 'Mẫu': 'In', 'Kho hàng': '85', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"Bộ Thể Thao Nam AVIANO Chất Liệu Poly Coolmax Thoáng Khí, Bộ Quần Áo Nam Mùa Hè 5 Màu Basic",https://shopee.vn/B%E1%BB%99-Th%E1%BB%83-Thao-Nam-AVIANO-Ch%E1%BA%A5t-Li%E1%BB%87u-Poly-Coolmax-Tho%C3%A1ng-Kh%C3%AD-B%E1%BB%99-Qu%E1%BA%A7n-%C3%81o-Nam-M%C3%B9a-H%C3%A8-5-M%C3%A0u-Basic-i.40342563.22733315717?sp_atk=e63313a7-13e1-4cd1-9a3b-6b22c85b53cb&xptdk=e63313a7-13e1-4cd1-9a3b-6b22c85b53cb,₫410.000,₫205.000,5.0,43,156,42 sản phẩm có sẵn,Đã thích (24),"{'Danh Mục': 'Shopee\nThời Trang Nam\nĐồ Bộ', 'Thương hiệu': 'AVIANO', 'Mùa': 'Mùa hè', 'Xuất xứ': 'Việt Nam', 'Mẫu': 'Trơn', 'Kho hàng': '42', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"Áo Thun Polo Nam AVIANO Chất Liệu Thấm Hút Mồ Hôi, Áo Polo Lé Vai Thiết Kế Cổ Phối Sọc Thời Trang",https://shopee.vn/%C3%81o-Thun-Polo-Nam-AVIANO-Ch%E1%BA%A5t-Li%E1%BB%87u-Th%E1%BA%A5m-H%C3%BAt-M%E1%BB%93-H%C3%B4i-%C3%81o-Polo-L%C3%A9-Vai-Thi%E1%BA%BFt-K%E1%BA%BF-C%E1%BB%95-Ph%E1%BB%91i-S%E1%BB%8Dc-Th%E1%BB%9Di-Trang-i.40342563.23330453053?sp_atk=95c1dabd-23a3-4daa-b498-9eae6b4da7a1&xptdk=95c1dabd-23a3-4daa-b498-9eae6b4da7a1,₫378.000,₫139.000,4.8,31,120,148 sản phẩm có sẵn,Đã thích (15),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Polo', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Chiều dài tay áo': 'Tay ngắn', 'Mẫu': 'Trơn', 'Kho hàng': '148', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"Bộ Quần Áo Nam Mùa Hè AVIANO, Bộ Đồ Nam Cộc Tay Cổ Tròn Chất Liệu Poly Coolmax Thấm Hút Mồ Hôi",https://shopee.vn/B%E1%BB%99-Qu%E1%BA%A7n-%C3%81o-Nam-M%C3%B9a-H%C3%A8-AVIANO-B%E1%BB%99-%C4%90%E1%BB%93-Nam-C%E1%BB%99c-Tay-C%E1%BB%95-Tr%C3%B2n-Ch%E1%BA%A5t-Li%E1%BB%87u-Poly-Coolmax-Th%E1%BA%A5m-H%C3%BAt-M%E1%BB%93-H%C3%B4i-i.40342563.22630455837?sp_atk=a0c85a11-d028-4910-9ccb-a413b6df552a&xptdk=a0c85a11-d028-4910-9ccb-a413b6df552a,₫410.000,₫205.000,4.9,7,28,42 sản phẩm có sẵn,Đã thích (4),"{'Danh Mục': 'Shopee\nThời Trang Nam\nĐồ Bộ', 'Thương hiệu': 'AVIANO', 'Mùa': 'Mùa hè', 'Xuất xứ': 'Việt Nam', 'Mẫu': 'Trơn', 'Chiều dài áo': 'Dài', 'Cổ áo': 'Cổ tròn', 'Kho hàng': '42', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,Áo Polo Trơn Bo Phối Xương Cá Thời Trang Cao Cấp AVIANO,https://shopee.vn/%C3%81o-Polo-Tr%C6%A1n-Bo-Ph%E1%BB%91i-X%C6%B0%C6%A1ng-C%C3%A1-Th%E1%BB%9Di-Trang-Cao-C%E1%BA%A5p-AVIANO-i.40342563.23430449409?sp_atk=cdee43b3-1329-4fb3-a3e1-d3ab47e8213c&xptdk=cdee43b3-1329-4fb3-a3e1-d3ab47e8213c,₫378.000,₫139.000,4.9,24,104,102 sản phẩm có sẵn,Đã thích (22),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Polo', 'Thương hiệu': 'AVIANO', 'Chiều dài tay áo': 'Tay ngắn', 'Mẫu': 'Trơn', 'Kho hàng': '102', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,"Bộ Thể Thao Nam AVIANO Polo Tay Ngắn, Bộ Quần Áo Nam Mùa Hè Thể Thao Chất Liệu Thấm Hút Mồ Hôi",https://shopee.vn/B%E1%BB%99-Th%E1%BB%83-Thao-Nam-AVIANO-Polo-Tay-Ng%E1%BA%AFn-B%E1%BB%99-Qu%E1%BA%A7n-%C3%81o-Nam-M%C3%B9a-H%C3%A8-Th%E1%BB%83-Thao-Ch%E1%BA%A5t-Li%E1%BB%87u-Th%E1%BA%A5m-H%C3%BAt-M%E1%BB%93-H%C3%B4i-i.40342563.22230454162?sp_atk=83319790-982e-4ee2-bfc8-cbf9309badc8&xptdk=83319790-982e-4ee2-bfc8-cbf9309badc8,₫538.000,₫219.000,4.9,61,210,361 sản phẩm có sẵn,Đã thích (25),"{'Danh Mục': 'Shopee\nThời Trang Nam\nĐồ Bộ', 'Thương hiệu': 'AVIANO', 'Mùa': 'Mùa hè', 'Xuất xứ': 'Việt Nam', 'Mẫu': 'Sọc', 'Chiều dài áo': 'Dài', 'Kho hàng': '361', 'Gửi từ': 'Hà Nội'}"
sp.btw2,Aviano Menswear,Áo Polo Nam Trơn Bo Phối Xương Cá Thời Trang Thiết Kế AVIANO,https://shopee.vn/%C3%81o-Polo-Nam-Tr%C6%A1n-Bo-Ph%E1%BB%91i-X%C6%B0%C6%A1ng-C%C3%A1-Th%E1%BB%9Di-Trang-Thi%E1%BA%BFt-K%E1%BA%BF-AVIANO-i.40342563.22630453082?sp_atk=5a1aa77a-c6e6-4fb0-987a-6aae630ce344&xptdk=5a1aa77a-c6e6-4fb0-987a-6aae630ce344,₫378.000,₫139.000,4.8,20,90,102 sản phẩm có sẵn,Đã thích (7),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Polo', 'Thương hiệu': 'AVIANO', 'Chiều dài tay áo': 'Tay ngắn', 'Mẫu': 'Trơn', 'Kho hàng': '102', 'Gửi từ': 'Hà Nội'}"
