userid,username,shopid,shop_name,logo,logo_pc,shop_collection_id,ctime,brand_label
40343949,sp.btw2,40342563,Aviano Menswear,3d150be843d6d2ef804953b0d481d2da,513f589c10254512669d3d8b50a6dea7,0,1620981895,0
225913958,poloman.vn,225909574,HAPPYHOW,123cc164a4752e490fabf1615d426e24,d1aa441638492fb588741d01af604811,0,1638428571,0
68615221,tsla.store,68613764,TSLA Store Quần áo legging nam,43379c63d96678378ac4e96b9143ad76,5c1936f863ed34b0e77299b2dbb96365,0,1650257648,0
24711470,coolmate.vn,24710134,Coolmate - Official Store,f1e3bd8688dd9a60d16b10bfb3ec846f,63072c90d0ed6f1acdbc301f4e35f890,0,1624259246,0
127219155,5s_official,127217331,5S OFFICIAL,acd2e95692b860ed10cf1563dac61b2a,573699fb35b480bae467c33e237bef2b,0,1620981896,0
60299050,rough.vn,60297616,ROUGH,7d62bc3e93a63e1727647c57a86cc99c,5ae4a69caf8172da365898519b0d6b17,0,1620981895,0
111641040,patternvn,111639450,Pattern,9cf156e6be8b2d271baec076a2b61632,25f5e7c890cb12fe390cdebe899b1b9a,0,1638167443,0
317497276,levents.vn,317477677,Levents .vn,1bd2028c66898a72679baaf08443308e,f22e36c8526d9a2224cd8bdb4fc2fb60,0,1642500902,0
201778079,guzado.vn,201774917,Guzado Official,fce6bc0f53dbbc5d23aacb7527c196e3,21c730c26e8d3a6fab107a6ea75c057a,0,1629279875,0
59598192,thoitrangmando,59596762,Thời Trang MANDO,16f083e03b33da7f4e0b634011a622d0,0671ab96c0cfa1d4dd8908033b5dd4dc,0,1620981896,0
168680671,tsimple_official,168678363,TSIMPLE_OFFICIAL,c0246d29b73f74cd4070cf96bc4c6ae0,29bed4380e5d22c19db3e70bdf852754,0,1620981895,0
92938999,owen.fashion,92937520,Thời trang nam Owen,f07e72e61ab585a902aad4b530d9b88a,ddc75185f9fb776d74e7483c4bea3187,0,1620981895,0
68990240,thoitrangbiluxury,68988783,Biluxury Official,5e83c65f99d8cbbe6b2a24b764d4f19e,dcb6014c56264e43fc0ff2d1aac01152,0,1620981895,0
263716021,feaer_store,263713672,FEAER STORE PREMIUM,54f78ff51aee372d0fd404a428b780ad,37d7186a9f7478f13cfc5abfc8cac55c,0,1620981894,0
38040209,sukiyafashion.vn,38038824,SUKIYA OFFICAL STORE,f9d94b946174bfff9589cf5313bc8923,9446c460f1740c4d9406b74021372e86,0,1627279592,0
277371451,4menstores,277366270,4MEN_OFFICIAL ,42701762f35693a8980e23ddba367340,57051eb3b9e4402159baa8ef4efb0750,0,1627973127,0
70678757,haidang.fashion,70677296,haidang.fashion,bfc8bc20d8ffc01c963db0442ab5dd56,185aa84b65234679750bc51ce74246da,0,1620981895,0
1621428,thoitrangnam4u,1620236,4U SHOP,3d7330323aa961006c741ad309b55a7b,fed4b97d2e56f102647bb6bccb086d02,0,1620981895,0
17894414,thoitrangeverest,17893078,THỜI TRANG EVEREST,340b651ffa688a781414cf8f4c7cb6dc,ee67615b2871ae017c69e87184c84102,0,1620981895,0
31524218,kojibavn,31522834,Kojiba Việt Nam,e1dffbf70f8c1d1a86376c784dcbec53,4eb1fd88a044d66267f56fa26be01ea0,0,1620981895,0
